addv0.cu,0,inf
addv0.cu,0.842144,0.00972755
addv0.cu,1.05078,0.00779608
addv0.cu,0.60096,0.0136315
addv0.cu,0.448576,0.0182622
addv0.cu,0.4608,0.0177778
addv0.cu,0.441728,0.0185454
addv0.cu,0.315392,0.025974
addv0.cu,0.42976,19.5193
addv0.cu,0.62256,13.4744
addv0.cu,0.447104,18.7621
addv0.cu,0.639744,13.1124
addv0.cu,0.497888,16.8484
addv0.cu,0.40272,20.8299
addv0.cu,2.06688,64.9374
addv0.cu,1.65702,80.9993
addv0.cu,2.08048,64.5129
addv0.cu,2.02531,66.2701
addv0.cu,2.01136,66.7298
addv0.cu,2.05491,65.3156
addv0.cu,1.9327,69.4456
addv0.cu,0.495616,0.0165289
addv0.cu,0.37008,1.41669
addv0.cu,0.483232,34.7188
addv0.cu,0.699456,11.993
addv0.cu,1.90182,70.5732
addv0.cu,0.567872,29.544
addv0.cu,0.435072,19.281
addv0.cu,0.003232,0
addv0.cu,20.9007,102.747
addv0.cu,0.495104,16.9431
addv0.cu,0.525568,3.99026
addv0.cu,0.387712,1.35226
addv0.cu,0.511168,1.02567
addv0.cu,0.383232,1.36807
addv0.cu,0.51376,1.02049
addv0.cu,1.82109,73.702
addv0.cu,0.57264,3.66225
addv0.cu,0.326336,1.60659
addv0.cu,0.314656,1.66623
addv0.cu,0.310048,1.69099
addv0.cu,0.370112,1.41657
addv0.cu,0.310464,1.68872
addv0.cu,0.324384,1.61626
addv0.cu,0.41152,5.09611
addv0.cu,0.383936,1.36556
addv0.cu,0.419392,1.25011
addv0.cu,0.379008,1.38332
addv0.cu,0.39728,1.31969
addv0.cu,0.352896,1.48567
addv0.cu,0.397248,1.3198
addv0.cu,0.412224,1.27185
addv0.cu,0.398528,1.31556
addv0.cu,0.408832,1.2824
addv0.cu,0.369088,1.4205
addv0.cu,0.818944,0.6402
addv0.cu,0.415232,1.26264
addv0.cu,0.383616,1.3667
addv0.cu,0.983648,0.133251
addv0.cu,0.256608,0.510787
addv0.cu,0.436672,0.300161
addv0.cu,0.261248,0.501715
addv0.cu,0.308928,0.42428
addv0.cu,0.301152,0.435235
addv0.cu,0.328544,0.398948
addv0.cu,0.456384,0.287197
addv0.cu,0.27648,0.474074
addv0.cu,0.323744,1.61945
addv0.cu,0.439808,1.19208
addv0.cu,0.3024,1.73376
addv0.cu,0.578304,7.25277
addv0.cu,0.357952,11.7175
addv0.cu,0.392,10.6998
addv0.cu,0.461696,9.08456
addv2.cu,0.555424,7.55154
addv2.cu,0.392992,10.6727
addv2.cu,0.34096,12.3015
addv0.cu,0.392384,10.6893
addv0.cu,0.359264,11.6747
addv0.cu,0.384768,10.9009
addv0.cu,0.619584,6.76955
addv2.cu,0.555616,7.54893
addv2.cu,0.494912,16.9497
addv0.cu,0.480544,17.4565
addv0.cu,0.394848,21.2452
addv0.cu,0.43168,19.4325
addv0.cu,0.48208,17.4009
addv2.cu,0.590816,14.1983
addv2.cu,0.608864,13.7775
addv2.cu,0.412736,20.3244
addv2.cu,0.457376,18.3407
addv2.cu,0,inf
addv0.cu,0.446688,18.7796
addv2.cu,0,inf
addv2.cu,0,inf
addv0.cu,0.530912,15.8004
addv2.cu,0.38432,21.8271
addv2.cu,0.490304,17.109
addv2.cu,0.383584,21.869
addv2.cu,0.449984,18.642
addv2.cu,0.483936,17.3341
addv2.cu,0.370144,22.6631
addv2.cu,0.4888,17.1616
addv2.cu,0.38416,21.8362
addv2.cu,0.380928,22.0215
addv2.cu,0.375872,22.3177
addv2.cu,0.479968,17.4774
addv2.cu,0.448768,18.6925
addv2.cu,0.376736,22.2665
addv2.cu,0.51904,16.1618
addv2.cu,0,inf
addv2.cu,0,inf
addv2.cu,0,inf
addv2.cu,0,inf
addv2.cu,0,inf
addv2.cu,0.157178,60.6571
addv2.cu,0.337994,50.9995
addv2.cu,0.139978,39.206
addv2.cu,0.127699,39.0374
addv2.cu,0.145891,37.3915
addv2.cu,0.130509,38.6499
addv2.cu,0.128704,39.132
addv2.cu,0,inf
addv2.cu,0,inf
addv2.cu,0,inf
addv2.cu,0.122026,42.668
addv2.cu,0.191331,43.2129
addv2.cu,0,inf
addv2.cu,0,inf
addv2.cu,0.145734,34.3163
addv2.cu,0.10065,55.8892
addv2.cu,7.46281,0.565313
addv2.cu,6.89094,0.609858
addv2.cu,0.770976,5.45088
addv2.cu,0.158234,30.262
addv2.cu,0.11791,41.7764
addv2.cu,0.144285,53.5068
addv2.cu,0.195475,27.7171
addv2.cu,0.165117,36.3676
addv2.cu,0.180016,0.0243153
addv2.cu,0.464864,0.00882839
addv2.cu,0.436224,0.037632
addv2.cu,0.50176,0.0327168
addv2.cu,0.34576,12.1544
addv2.cu,0.091552,60.5229
addv0.cu,0.668,12.5578
addv0.cu,0.432992,19.3736
addv2.cu,0.121722,43.081
addv2.cu,0.103482,57.6305
addv2.cu,0.181789,59.5994
addv2.cu,0.11319,61.8612
addv2.cu,0.085888,68.4412
addv2.cu,0.0893888,73.6739
addv2.cu,0.465462,14.3554
addv2.cu,0.0881792,68.1705
addv2.cu,0.0848,70.0122
addv2.cu,0.629043,6.69104
addv2.cu,0.0842176,70.9216
addv2.cu,0.162358,35.0238
addv2.cu,0.098576,76.2288
addv2.cu,0.142138,39.3948
addv2.cu,0.152941,36.927
addv2.cu,0.0921792,67.4193
addv2.cu,0.11727,62.1687
addv2.cu,0.0956832,64.9057
addv2.cu,0.0964768,63.2245
addv2.cu,0.0891584,72.8059
addv2.cu,0.0880928,66.2437
addv2.cu,0.139936,36.8851
addv2.cu,0.13793,38.0821
addv2.cu,0.220467,29.7985
addv2.cu,0.087296,64.9152
addv2.cu,0.126701,59.9393
addv2.cu,0.0912256,65.3298
addv2.cu,0.090336,62.0005
